"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gm8797",7.27487216100576e-73,4.67696716187447,0.312,0.013,1.33355681583397e-68
"Cfap54",1.19649376058876e-60,2.82046635117379,0.46,0.146,2.19329271253526e-56
"Epb41l5",5.31601268624128e-59,3.09516170406062,0.347,0.056,9.74478285514889e-55
"Sav1",2.65116837340525e-48,1.85520087997451,0.364,0.087,4.85985674528916e-44
"Scg5",2.74676039409812e-43,1.11753903211731,0.764,0.491,5.03508647842126e-39
"Lpl",1.47748252086714e-41,2.21277527738377,0.349,0.096,2.70837320900155e-37
"Mt3",1.84407280855562e-34,-2.13201518606657,0.16,0.429,3.3803698653633e-30
"Cntn4",1.42038597072646e-27,0.718411772299021,0.477,0.218,2.60370952293868e-23
"Galnt1",2.69673892181923e-25,-1.60083732527653,0.236,0.435,4.94339211758683e-21
"Timp4",2.46484424272001e-23,1.12914628648496,0.48,0.275,4.51830598133006e-19
"Swt1",1.86354719453992e-22,0.987303194151928,0.427,0.229,3.41606836231113e-18
"Nudt4",7.62307206525263e-21,1.1791984252726,0.259,0.095,1.39738534028146e-16
"Hacd4",2.51747061620781e-20,1.26360148059738,0.456,0.274,4.61477538657054e-16
"Atp2c1",2.89186891327726e-20,0.626274196919712,0.719,0.558,5.30108490492854e-16
"Gm4924",7.54732842850588e-20,1.33129052844028,0.267,0.107,1.38350077422941e-15
"Fam57b",4.54935077392186e-18,1.31522243024374,0.337,0.176,8.33941490367616e-14
"Kcnh5",3.14543020412066e-16,1.35793857337826,0.289,0.139,5.76588810717358e-12
"Cpne4",1.19248536137465e-15,0.677568642570801,0.677,0.534,2.18594491593587e-11
"Spink8",1.60150267030731e-15,-1.61371006194006,0.1,0.25,2.93571454494033e-11
"Wbp11",3.89745974423846e-15,0.709365343610928,0.327,0.169,7.14443345716352e-11
"Ttc37",5.03110320764609e-15,0.9229487726634,0.435,0.279,9.22251528993606e-11
"Zkscan1",1.03677216386465e-14,0.851629501394337,0.386,0.237,1.90050705358029e-10
"Pcdh15",1.08196683757572e-14,1.41863969077976,0.306,0.158,1.98335340996005e-10
"Fbxo42",3.45513851627747e-14,0.862443192139024,0.326,0.185,6.33361441418822e-10
"Alcam",1.02607144322714e-13,0.910268243196877,0.42,0.256,1.88089156257966e-09
"Prkn",2.23018058358484e-13,-0.828878197098877,0.608,0.626,4.08814402776936e-09
"Rab11fip2",3.03480236189923e-13,0.501608793766123,0.539,0.377,5.56309620959748e-09
"Snhg11",3.96965616039512e-13,-0.387670828828666,0.831,0.88,7.27677670762029e-09
"Map2",4.1473280444872e-13,0.311383299972795,0.872,0.767,7.60246703834948e-09
"Epha7",4.53320371570733e-13,0.396620084288279,0.835,0.743,8.30981573126311e-09
"Plp1",4.8404292852769e-13,-1.12907918782279,0.483,0.628,8.87299092284108e-09
"Marchf1",6.26161552232084e-13,-0.693440934706315,0.563,0.693,1.14781674139663e-08
"Mllt3",9.46083555541177e-13,0.459958569871473,0.712,0.55,1.73426576566253e-08
"Farp1",9.79226797205897e-13,0.894930935191689,0.398,0.255,1.79502064195813e-08
"Cep19",2.17962135876317e-12,0.62018533586627,0.312,0.18,3.99546391274876e-08
"Plcxd3",2.7970216804133e-12,1.1652598417294,0.379,0.251,5.12722044236562e-08
"Kcnip4",2.90344211021979e-12,0.232254175740365,0.98,0.978,5.32229973224389e-08
"Fam98a",3.08107134626855e-12,1.29579186929114,0.25,0.131,5.64791188484488e-08
"Zdhhc2",3.42468143149826e-12,0.719082578006409,0.394,0.255,6.27778353207945e-08
"Slco3a1",5.340791897782e-12,0.48474024275702,0.57,0.399,9.79020562782418e-08
"Tspan5",7.75623197878764e-12,0.369047663828252,0.756,0.613,1.42179488403156e-07
"Unc5d",1.5345985912716e-11,1.17255020547072,0.31,0.185,2.81307267765997e-07
"Myo1b",1.9079797547515e-11,1.07802872191094,0.256,0.139,3.49751768843498e-07
"Pla2g3",2.64406365056342e-11,0.63274516790164,0.483,0.33,4.84683307784781e-07
"Sidt1",3.15565696198906e-11,0.492884226774143,0.589,0.435,5.78463477702214e-07
"Cox7a2",9.62656702810707e-11,0.40227741729761,0.578,0.41,1.76464600192231e-06
"Ccdc3",9.69342970240222e-11,1.14138333080611,0.336,0.216,1.77690259874735e-06
"Cdk17",1.60243532170986e-10,0.403933731205714,0.544,0.399,2.93742418822634e-06
"Myo6",2.26054839935509e-10,0.582719374688564,0.475,0.343,4.14381127085781e-06
"Atp5o",2.27851936365524e-10,0.42614712904636,0.632,0.472,4.17675384551642e-06
"Drg1",2.6651722504628e-10,0.474484704800117,0.578,0.434,4.88552725232335e-06
"Cmss1",2.88856342634001e-10,-0.483339324433892,0.95,0.946,5.29502561682387e-06
"Ppp1r12b",3.00736674224603e-10,0.29937028732594,0.623,0.47,5.51280397521119e-06
"Eif1b",3.10554363300187e-10,0.549389397007966,0.529,0.384,5.69277203365573e-06
"Kcnip3",3.10568549850231e-10,-1.35899328194078,0.131,0.25,5.69303208730458e-06
"Ssbp4",4.13666508239824e-10,0.555273996133031,0.464,0.329,7.58292076254422e-06
"Rmnd1",4.37063262839441e-10,0.595056107724528,0.323,0.205,8.01180667110979e-06
"Tmem131l",4.91056014547992e-10,0.605078058300309,0.337,0.218,9.00154780267924e-06
"Fstl5",5.13330995968391e-10,0.702235464564686,0.494,0.376,9.40987048709657e-06
"Rpl13",1.21292478966661e-09,0.272743798083241,0.76,0.585,2.22341243193787e-05
"Srp14",1.50400157975723e-09,0.619259049478388,0.39,0.262,2.75698529585297e-05
"Bend6",1.62438075051781e-09,0.761321891013662,0.341,0.224,2.9776523537742e-05
