p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
1.40297285955864e-50,0.361346852360799,0.99,0.966,2.80594571911728e-47,Type1,Man1a2
1.24971056466896e-48,0.369203331137254,0.946,0.871,2.49942112933793e-45,Type1,Kcnk2
3.51266491311998e-45,0.383377679330268,0.993,0.96,7.02532982623997e-42,Type1,Akap13
5.90595629934374e-43,0.289756869772947,0.995,0.959,1.18119125986875e-39,Type1,Stxbp5l
2.19072757013786e-42,0.357663678943179,0.967,0.904,4.38145514027573e-39,Type1,Ptpn5
9.40371076844392e-42,0.279803667187666,0.997,0.968,1.88074215368878e-38,Type1,Ptprd
1.74351891258138e-41,0.36196996796689,0.994,0.959,3.48703782516277e-38,Type1,Asph
5.49740808656893e-34,0.312653533773096,0.991,0.979,1.09948161731379e-30,Type1,Nebl
1.34868205403941e-32,0.344195441454906,0.856,0.689,2.69736410807882e-29,Type1,Amigo2
2.82896457926634e-32,0.357411888950607,0.983,0.964,5.65792915853268e-29,Type1,Sms
2.58549590998296e-30,0.371159419861593,0.923,0.823,5.17099181996591e-27,Type1,Pygo1
1.77433221317424e-25,0.409385031997328,0.95,0.911,3.54866442634848e-22,Type1,Sox5
1.15445300543588e-23,0.25352780467308,0.904,0.826,2.30890601087176e-20,Type1,Zdhhc23
1.89492752174548e-23,0.256274129647335,0.986,0.938,3.78985504349096e-20,Type1,Srgap2
4.45033155410165e-23,0.271761319438878,0.932,0.856,8.90066310820331e-20,Type1,Rap2b
2.42138029737437e-18,0.280229228948456,0.769,0.651,4.84276059474873e-15,Type1,Pycr2
4.01725777946081e-15,0.253441630571953,0.948,0.886,8.03451555892162e-12,Type1,Ablim1
8.98765480838665e-08,0.25942271301601,0.944,0.908,0.000179753096167733,Type1,Pkp2
2.31806247894386e-07,0.278873082194911,0.716,0.639,0.000463612495788772,Type1,mt-Cytb
0.00296869694209126,0.309536972114653,0.728,0.711,1,Type1,mt-Co3
2.11209664693695e-187,0.581378266801494,1,0.958,4.2241932938739e-184,Type2,Stxbp5l
2.20604079012883e-170,0.714902656201566,0.96,0.806,4.41208158025766e-167,Type2,Rapgef5
1.7827166298035e-148,0.3407192672875,1,0.996,3.565433259607e-145,Type2,Zbtb20
3.39341971673155e-128,0.556287487921943,0.997,0.959,6.78683943346311e-125,Type2,Asph
4.60921258144239e-128,0.630280761053779,0.983,0.857,9.21842516288477e-125,Type2,Kcnk2
3.04862364075832e-112,0.44356330572576,0.993,0.959,6.09724728151663e-109,Type2,Wipf3
5.41597536384783e-83,0.532345232926853,0.892,0.75,1.08319507276957e-79,Type2,Dapk1
5.28349298880884e-78,0.42154520583263,0.967,0.912,1.05669859776177e-74,Type2,Adcy1
1.28534689800036e-74,0.375253143009455,0.982,0.899,2.57069379600073e-71,Type2,Ptpn5
4.59414115331327e-74,0.461753195740171,0.875,0.718,9.18828230662655e-71,Type2,Ntsr2
6.65396456718499e-70,0.322203283641914,1,0.967,1.330792913437e-66,Type2,Ptprd
1.96818605739134e-69,0.537994328519415,0.842,0.759,3.93637211478267e-66,Type2,Epha10
2.50704294541695e-69,0.359456708338741,0.985,0.936,5.0140858908339e-66,Type2,Slc8a1
1.13250555856844e-67,0.362404585432288,0.983,0.919,2.26501111713689e-64,Type2,Brinp2
7.64842530135818e-66,0.46295635281774,0.897,0.765,1.52968506027164e-62,Type2,Hdac7
2.31067385771385e-63,0.395518251276779,0.859,0.84,4.6213477154277e-60,Type2,Echdc2
2.97709820699104e-63,0.385907847524283,0.904,0.833,5.95419641398209e-60,Type2,Pygo1
2.34172844644349e-62,0.416520605221206,0.932,0.842,4.68345689288697e-59,Type2,Large1
2.53886660760607e-61,0.394060272716895,0.938,0.839,5.07773321521215e-58,Type2,Atp11b
1.71013462341635e-60,0.368907794143944,0.966,0.857,3.42026924683271e-57,Type2,Clmn
7.45574162123878e-59,0.398376641156499,0.925,0.822,1.49114832424776e-55,Type2,Fat3
6.83819664207658e-57,0.417304448637561,0.824,0.701,1.36763932841532e-53,Type2,Zbtb1
7.44198949677508e-55,0.345990699773289,0.88,0.882,1.48839789935502e-51,Type2,Onecut2
8.58201981543918e-55,0.299325923343293,0.997,0.964,1.71640396308784e-51,Type2,Erc2
2.73103906538435e-52,0.310211428049417,0.987,0.939,5.46207813076869e-49,Type2,Srgap2
3.20404246553729e-50,0.271757688523218,0.988,0.964,6.40808493107459e-47,Type2,Dclk1
2.85271312364938e-48,0.299231552093103,0.997,0.964,5.70542624729875e-45,Type2,Man1a2
8.89150805227169e-46,0.31604497306401,0.836,0.7,1.77830161045434e-42,Type2,Amigo2
2.95437098978172e-44,0.278539183941324,0.983,0.944,5.90874197956345e-41,Type2,Negr1
3.52661563643564e-44,0.357199933638474,0.857,0.739,7.05323127287127e-41,Type2,Cdkl2
3.90884882511589e-44,0.338103451941261,0.759,0.622,7.81769765023179e-41,Type2,Flna
5.44742888050154e-42,0.346404796289435,0.778,0.701,1.08948577610031e-38,Type2,Kcna4
2.07379724225818e-41,0.304727952895951,0.862,0.796,4.14759448451635e-38,Type2,Uhrf1bp1l
2.84248684620644e-40,0.292022348397271,0.649,0.523,5.68497369241287e-37,Type2,Flrt2
2.97607657665637e-40,0.322581851421012,0.919,0.821,5.95215315331274e-37,Type2,Zdhhc23
2.45071001967887e-39,0.275130863022746,0.654,0.53,4.90142003935774e-36,Type2,Slitrk4
4.8357037168122e-39,0.452981517927242,0.687,0.669,9.67140743362441e-36,Type2,St8sia6
7.04611444437397e-38,0.385143480607382,0.816,0.832,1.40922288887479e-34,Type2,Fkbp5
7.10026563246133e-38,0.411906443974491,0.831,0.839,1.42005312649227e-34,Type2,Dnah9
6.28494023812978e-36,0.31176838012321,0.806,0.706,1.25698804762596e-32,Type2,Pcdh10
2.81963298013819e-35,0.279284806528859,0.928,0.859,5.63926596027639e-32,Type2,Ralgapa1
2.95867831785904e-33,0.267313589544661,0.955,0.898,5.91735663571809e-30,Type2,Gabrb1
1.43449209240948e-32,0.335903459973502,0.634,0.599,2.86898418481896e-29,Type2,Cacng5
1.85464849407063e-32,0.274186801486601,0.94,0.854,3.70929698814126e-29,Type2,Rap2b
4.46648036357049e-32,0.250443555307419,0.977,0.957,8.93296072714099e-29,Type2,Vps13c
6.95604660988031e-32,0.27598594195982,0.693,0.608,1.39120932197606e-28,Type2,Rgs14
1.08427821200283e-31,0.256327437559857,0.927,0.896,2.16855642400565e-28,Type2,Ablim1
1.59377286469291e-31,0.318525102487154,0.863,0.787,3.18754572938581e-28,Type2,Rapgef4
1.78245646278584e-31,0.276637334363309,0.934,0.866,3.56491292557168e-28,Type2,Specc1
2.5075022008387e-31,0.274404891996546,0.919,0.852,5.0150044016774e-28,Type2,2010300C02Rik
2.6089878181471e-31,0.277024238842379,0.889,0.818,5.21797563629421e-28,Type2,Pde4dip
6.9318084007629e-30,0.282983354116111,0.868,0.779,1.38636168015258e-26,Type2,Trank1
1.66688150515581e-28,0.258851940674167,0.841,0.772,3.33376301031163e-25,Type2,Erc1
8.77905154201731e-28,0.321031946059439,0.79,0.82,1.75581030840346e-24,Type2,Rasl11b
1.51497158226502e-26,0.330680036191984,0.77,0.814,3.02994316453003e-23,Type2,Gm2115
6.57018416353958e-26,0.264793433344763,0.818,0.85,1.31403683270792e-22,Type2,Ccdc88c
2.9922198020912e-25,0.269327120814497,0.575,0.536,5.9844396041824e-22,Type2,Fgf5
3.68661482247143e-25,0.332870416506938,0.711,0.699,7.37322964494287e-22,Type2,Egfem1
2.41300446702197e-24,0.459034701179292,0.702,0.751,4.82600893404394e-21,Type2,Vcan
4.51312581975257e-24,0.261288374933402,0.691,0.654,9.02625163950514e-21,Type2,Bcan
4.63806835270495e-24,0.371948201665314,0.723,0.775,9.27613670540991e-21,Type2,Osbpl3
1.52791961792046e-22,0.281443269855922,0.591,0.603,3.05583923584092e-19,Type2,Osbpl10
3.70110637112808e-22,0.29845921148101,0.573,0.629,7.40221274225616e-19,Type2,Fhod3
5.1309742757635e-22,0.280557799920245,0.716,0.693,1.0261948551527e-18,Type2,Kcnt1
9.014789803264e-22,0.353140075144753,0.785,0.837,1.8029579606528e-18,Type2,Dpyd
5.19823877816207e-19,0.374245981832618,0.728,0.781,1.03964775563241e-15,Type2,Xkr6
2.00043993210305e-18,0.265414635365076,0.762,0.8,4.0008798642061e-15,Type2,Ttc21b
7.34137814935567e-15,0.262236468540262,0.723,0.75,1.46827562987113e-11,Type2,Wdfy2
9.27009144839117e-10,0.282807947313179,0.721,0.803,1.85401828967823e-06,Type2,Kcnk9
2.24143051408972e-09,0.282353432582972,0.695,0.767,4.48286102817945e-06,Type2,Fam126a
1.23391223007292e-06,0.295190832108455,0.544,0.614,0.00246782446014584,Type2,Ctsc
5.6749885771181e-06,0.308548692148501,0.562,0.649,0.0113499771542362,Type2,Hcrtr2
0.000517793525883495,0.289180122436358,0.66,0.774,1,Type2,Cfap100
1.12055594453425e-227,1.24381090649948,0.999,0.962,2.24111188906849e-224,Type3,Opcml
1.59278788273091e-208,1.65933033013815,0.979,0.846,3.18557576546181e-205,Type3,Ccnd2
2.93227024164131e-155,1.00322280744708,0.976,0.898,5.86454048328262e-152,Type3,Rnf182
5.95356695986681e-139,1.11243184413452,0.835,0.555,1.19071339197336e-135,Type3,Nectin3
1.78895854787878e-132,0.800496757309935,0.986,0.952,3.57791709575756e-129,Type3,Cpne7
4.02650406861726e-129,0.431981761761245,1,0.997,8.05300813723452e-126,Type3,Snhg11
2.74647987889548e-119,0.798032823774811,0.992,0.948,5.49295975779096e-116,Type3,Cpne6
7.53951498892755e-112,0.99218721934174,0.836,0.661,1.50790299778551e-108,Type3,Neto1
9.16657922295728e-100,0.68281114079513,0.991,0.955,1.83331584459146e-96,Type3,Gpi1
1.46578422436604e-98,0.838949984494101,0.798,0.641,2.93156844873208e-95,Type3,Slc1a2
1.33050317866575e-92,0.855075707052661,0.865,0.794,2.6610063573315e-89,Type3,Peak1
8.81794350207504e-88,0.907156741802492,0.827,0.663,1.76358870041501e-84,Type3,Cpeb1
8.66840957905546e-84,0.520420792148357,0.994,0.958,1.73368191581109e-80,Type3,Rnf112
9.03813642842104e-81,0.920825816086881,0.753,0.677,1.80762728568421e-77,Type3,Parp8
1.3862228621406e-79,0.979044340396116,0.713,0.648,2.7724457242812e-76,Type3,Nptx1
9.54850105259785e-79,0.675829499146774,0.959,0.895,1.90970021051957e-75,Type3,Rabgap1l
2.73071997479695e-78,0.838053543392354,0.828,0.732,5.4614399495939e-75,Type3,Raver2
3.76317118854928e-77,0.696517442572757,0.723,0.572,7.52634237709856e-74,Type3,Cntnap2
4.69714655759071e-77,0.689966513371563,0.927,0.792,9.39429311518141e-74,Type3,Adam11
1.80434475652053e-76,0.936497122749839,0.728,0.624,3.60868951304106e-73,Type3,Cdh24
7.5888048921989e-68,0.676038083515257,0.904,0.801,1.51776097843978e-64,Type3,Srcin1
1.67860590343498e-67,0.611837269959757,0.939,0.892,3.35721180686996e-64,Type3,Col4a2
4.80224986385425e-65,0.966247469432952,0.676,0.61,9.60449972770851e-62,Type3,Slit2
4.94699850770893e-65,0.599799366677389,0.931,0.864,9.89399701541786e-62,Type3,Grik4
1.30491440207702e-61,0.79701505306253,0.76,0.633,2.60982880415404e-58,Type3,Oxr1
1.49708315395862e-58,0.556745547041271,0.946,0.867,2.99416630791724e-55,Type3,Syt7
3.43397532179578e-57,0.545973833720009,0.884,0.733,6.86795064359156e-54,Type3,Aopep
8.91261281788843e-57,0.548906945161634,0.942,0.834,1.78252256357769e-53,Type3,Unc5c
1.66775665034715e-56,0.693421272653231,0.848,0.779,3.33551330069429e-53,Type3,Olfm1
2.90023278718523e-54,0.507160694045839,0.884,0.859,5.80046557437047e-51,Type3,Socs2
3.45397101587708e-54,0.529323732435975,0.949,0.91,6.90794203175415e-51,Type3,Syn2
1.198619230683e-52,0.494639504895436,0.982,0.944,2.39723846136601e-49,Type3,Tmem108
3.2475809344841e-51,0.587507402613506,0.79,0.66,6.4951618689682e-48,Type3,Islr2
7.39114349325853e-51,0.642632424278827,0.856,0.772,1.47822869865171e-47,Type3,Jak1
7.09134664961875e-50,0.551215942970467,0.897,0.775,1.41826932992375e-46,Type3,Chgb
9.40077471023158e-48,0.420904919083589,0.986,0.953,1.88015494204632e-44,Type3,Gpm6b
1.20981025610489e-47,0.499289423687337,0.945,0.872,2.41962051220978e-44,Type3,Ap2a2
6.42458235965172e-47,0.775669286518584,0.707,0.665,1.28491647193034e-43,Type3,Marchf1
1.09367320141468e-46,0.68219727356937,0.821,0.792,2.18734640282936e-43,Type3,Iqsec3
1.23056502585068e-46,0.488055668686953,0.962,0.924,2.46113005170135e-43,Type3,Nav3
1.59392199126505e-46,0.513662084343264,0.901,0.795,3.1878439825301e-43,Type3,Camta1
1.69761317764789e-45,0.544851359789585,0.773,0.658,3.39522635529579e-42,Type3,Iqgap1
3.53705778839987e-44,0.535580686607713,0.83,0.719,7.07411557679974e-41,Type3,Rimbp2
5.61316085135715e-44,0.536066362784592,0.726,0.609,1.12263217027143e-40,Type3,Entpd7
8.10384136843643e-44,0.561919335447661,0.806,0.769,1.62076827368729e-40,Type3,Tenm2
2.16649774049765e-43,0.695603277145229,0.704,0.571,4.3329954809953e-40,Type3,Per3
2.76552329714201e-43,0.518886854502385,0.696,0.562,5.53104659428403e-40,Type3,Ncam1
1.90286600667248e-41,0.594163906367876,0.817,0.751,3.80573201334496e-38,Type3,Kctd4
2.62670392956937e-40,0.681091410161613,0.652,0.598,5.25340785913873e-37,Type3,Epha3
5.72761825146568e-40,0.412140375058133,0.96,0.915,1.14552365029314e-36,Type3,Zmynd8
1.12968675270144e-39,0.473982129235593,0.751,0.603,2.25937350540288e-36,Type3,Ncald
2.95323070068223e-39,0.444540183413294,0.753,0.583,5.90646140136446e-36,Type3,Cacna2d1
6.36868578482286e-39,0.708573783914337,0.757,0.732,1.27373715696457e-35,Type3,Scube1
1.92394334609927e-38,0.451310090669655,0.824,0.693,3.84788669219854e-35,Type3,Spock2
2.08494747216202e-38,0.35335735743235,0.484,0.337,4.16989494432405e-35,Type3,Nol4l
2.73086616340537e-38,0.874475220131688,0.614,0.633,5.46173232681073e-35,Type3,Lnx1
4.43093512431207e-38,0.459560673204757,0.924,0.889,8.86187024862414e-35,Type3,Adgrb1
4.84006963295611e-38,0.447240089791933,0.942,0.92,9.68013926591221e-35,Type3,Trhde
1.97690864499674e-37,0.392202998844533,0.534,0.452,3.95381728999348e-34,Type3,Ephb1
5.81301681234244e-37,0.460569368228081,0.913,0.846,1.16260336246849e-33,Type3,Wscd2
1.52772521103497e-35,0.62280701858451,0.712,0.673,3.05545042206994e-32,Type3,Magi3
2.03794746695384e-35,0.610608613343106,0.607,0.569,4.07589493390768e-32,Type3,Lrrc10b
2.91763618783648e-34,0.435405400187007,0.688,0.556,5.83527237567297e-31,Type3,Nsun7
3.05635821478768e-34,0.375583033524276,0.511,0.421,6.11271642957536e-31,Type3,Mapk11
1.76480166122067e-33,0.421144594032589,0.761,0.669,3.52960332244135e-30,Type3,Nrp2
4.27347675589394e-33,0.62452527454679,0.679,0.683,8.54695351178787e-30,Type3,Prkcb
7.07528854366881e-32,0.508914353585335,0.622,0.52,1.41505770873376e-28,Type3,C530008M17Rik
7.49557925113228e-32,0.305958516988622,0.994,0.978,1.49911585022646e-28,Type3,Nos1ap
1.69956911740164e-31,0.277297245530878,0.991,0.967,3.39913823480328e-28,Type3,Cadps
4.17486284250128e-31,0.591190884843556,0.65,0.644,8.34972568500257e-28,Type3,Kcnc2
1.52340980270482e-30,0.477734581664482,0.614,0.482,3.04681960540965e-27,Type3,Nptxr
1.88944587047127e-30,0.478125614536935,0.595,0.65,3.77889174094255e-27,Type3,Iyd
3.00037118637791e-30,0.69669285131002,0.705,0.68,6.00074237275581e-27,Type3,Trps1
4.51435453344385e-30,0.442503392917785,0.81,0.785,9.02870906688769e-27,Type3,Mas1
5.84476768852324e-30,0.440846700273038,0.901,0.848,1.16895353770465e-26,Type3,Klhl7
9.04394142671871e-30,0.403567645983031,0.77,0.65,1.80878828534374e-26,Type3,Arhgap17
9.34312411884132e-30,0.357154716260307,0.498,0.399,1.86862482376826e-26,Type3,Dpf3
1.99018321757695e-29,0.346454227066972,0.913,0.825,3.98036643515389e-26,Type3,Zfp950
2.82091903837288e-29,0.31405476038401,0.609,0.469,5.64183807674577e-26,Type3,Sntb2
3.27137274301743e-29,0.695552305957375,0.679,0.658,6.54274548603487e-26,Type3,Shisa4
5.68215865226954e-29,0.516946984503973,0.588,0.541,1.13643173045391e-25,Type3,Edil3
3.35113965918045e-28,0.490762159636998,0.815,0.735,6.70227931836089e-25,Type3,Brinp1
2.51787821274384e-27,0.536558738197573,0.744,0.73,5.03575642548767e-24,Type3,Palmd
